mu_g,mu_r,mu_b,sd_g,sd_r,sd_b
0.91326374,0.8298648,0.852495,0.10163393,0.13601784,0.09714814
0.9340259,0.86787903,0.87649643,0.07647604,0.09693028,0.06813182
0.7404052,0.46170986,0.6064272,0.20026024,0.33378732,0.24160305
0.9139617,0.79445815,0.8350198,0.09418043,0.15083085,0.10250107
0.93261486,0.8535426,0.86720437,0.07057693,0.09634228,0.07078794
0.8921736,0.6729909,0.8058685,0.15210947,0.22801149,0.14135836
0.77283,0.50500876,0.68621236,0.16649874,0.28181893,0.1803062
0.7997031,0.6069193,0.7375247,0.16965283,0.27635595,0.16668858
0.9258284,0.7770789,0.8636614,0.10478022,0.16297221,0.09601047
0.8553464,0.62642515,0.77221715,0.14811051,0.22491065,0.13543075
0.9067144,0.85650295,0.87748444,0.101369,0.10991639,0.07633872
0.80864316,0.64960176,0.7645544,0.16022499,0.22206433,0.14683063
0.88532585,0.5900064,0.7318184,0.1357456,0.26248613,0.16595125
0.7975058,0.57045627,0.7216279,0.1889181,0.3091582,0.1957899
0.95234144,0.87233865,0.88918686,0.05351022,0.111008584,0.07841971
0.8531154,0.58195084,0.7195076,0.15569961,0.3167562,0.20802787
0.9289343,0.6450799,0.7692384,0.10796819,0.21547659,0.13529767
0.89508045,0.7920995,0.83173466,0.119562514,0.14923285,0.102102734
0.53830266,0.37143478,0.47298893,0.20350912,0.28874734,0.22247446
0.941895,0.8339327,0.87151015,0.064654864,0.1169033,0.07800466
0.87202036,0.7552755,0.8160289,0.1147124,0.16537912,0.116632655
0.89255977,0.81314075,0.8515128,0.112800196,0.13073416,0.0841055
0.84175986,0.6766923,0.81575805,0.14658272,0.18464832,0.09823905
0.83504224,0.61361784,0.73721683,0.15771858,0.23789315,0.15836857
0.8935302,0.8082412,0.8542418,0.11485255,0.1312827,0.083065994
0.8685827,0.7724341,0.8405882,0.14280477,0.16617718,0.10427387
0.92031974,0.7276679,0.8211192,0.080375,0.17290327,0.108738944
