rid,score,incl_of_fold0
C7z14m,-1.0,"['002_DEF', '172_ABC', '066_GH', '151_CD', '025_AB', '123_EF', '016_GH', '152_DEF', '038_DE', '176_GHK']"
SXEKQO,-1.0,"['148_DEF', '120_GH', '039_DEF', '074_DEF', '109_ABC', '164_DEF']"
Ri869H,-1.0,"['212_ABC', '213_LMN', '201_KL', '102_AB', '002_DEF', '078_CD', '152_DEF', '210_L']"
hVseb9,0.0,"['125_DEF', '176_GHK', '181_AB', '025_AB', '132_DEF', '016_GH', '001_ABC']"
0z3J4B,-1.0,"['148_DEF', '020_AB', '038_DE', '141_EF', '208_DEF', '072_ABC', '150_DEF', '082_ABC']"
DMv5y4,0.0,"['210_L', '102_AB', '125_DEF', '150_DEF', '168_DEF', '145_LMN', '205_DEF']"
WF9yMy,-1.0,"['080_ABC', '144_EF', '120_GH', '160_A', '163_ABC', '172_ABC', '193_ABCD', '181_AB', '110_DEF', '205_DEF']"
QIPSaa,-1.0,"['124_AB', '014_CD', '104_AB', '074_ABC', '102_AB', '193_ABCD', '012_AB', '111_EF']"
oZZzuT,-1.0,"['016_DEF', '203_ABC', '152_DEF', '107_ABC', '014_CD', '160_A', '074_DEF', '193_ABCD', '080_G']"
mbYelW,-1.0,"['200_AB', '169_DEF', '183_DEF', '185_ABC', '025_AB', '078_CD', '111_EF', '118_ABC', '016_GH']"
gvcFMl,0.0,"['115_DEF', '132_DEF', '038_DE', '051_GH', '183_DEF', '004_GHK', '168_DEF', '054_GH']"
7UqbXa,-1.0,"['066_GH', '162_DEF', '111_EF', '007_DEF', '117_KL', '010_KL', '172_KL', '119_L', '025_AB']"
mcZouO,-1.0,"['176_GHK', '074_DEF', '002_ABC', '051_GH', '120_GH', '163_ABC', '083_DEF', '132_DEF']"
y3yUes,-1.0,"['210_L', '074_ABC']"
53KWYN,-1.0,"['030_GH', '107_L', '172_KL', '041_ABC']"
7cWT0H,-1.0,"['176_GHK', '164_DEF', '111_EF']"
Ra2tlu,-1.0,"['062_ABC', '038_DE', '144_CD', '162_DEF']"
UQYoYs,-1.0,"['012_AB', '140_DEF', '144_CD']"
oaxdPd,0.0,"['062_ABC', '189_EF']"
GDPIik,-1.0,"['144_CD', '160_A', '200_AB', '036_AB']"
qKNuP9,-1.0,"['123_EF', '160_A', '026_DEF', '183_DEF']"
z4LWCA,0.0,"['200_AB', '177_DEF', '160_A', '120_GH']"
Il28m3,-1.0,"['038_DE', '164_DEF', '016_DEF']"
BBWIAD,-1.0,"['115_DEF', '129_DEF', '183_DEF', '030_GH']"
